SIMRUN,TIMEINT,QUEUECOUNTER,QLEN,QLENMAX,QSTOPS
1,2040-2100,7,61.3,104.67,27
1,2100-2160,1,4.65,18.38,4
1,2100-2160,2,24.65,45.19,11
1,2100-2160,3,142.34,147.42,24
1,2100-2160,4,1.41,11.71,2
1,2100-2160,5,58.15,112.93,17
1,2100-2160,6,56.5,70.18,14
1,2100-2160,7,64.11,97.31,23
1,2160-2220,1,6.9,30.6,6
1,2160-2220,2,23.43,33.6,5
1,2160-2220,3,136.1,147.41,19
1,2160-2220,4,2.28,16.45,2
1,2160-2220,5,70.5,139.52,19
1,2160-2220,6,62.11,89.53,16
1,2160-2220,7,58.37,89.42,11
1,2220-2280,1,0.8,10.35,2
1,2220-2280,2,11.97,22.13,2
1,2220-2280,3,23.86,147.33,12
1,2220-2280,4,10.89,39.76,6
1,2220-2280,5,105.51,139.52,6
1,2220-2280,6,46.13,75.5,8
1,2220-2280,7,65.79,98.18,15
1,2280-2340,1,6.13,20.26,2
1,2280-2340,2,5.74,13.71,2
1,2280-2340,3,17.38,63.4,11
1,2280-2340,4,1.73,17.89,3
1,2280-2340,5,22.21,45.98,6
1,2280-2340,6,27.53,57.52,9
1,2280-2340,7,40.84,76.4,13
1,2340-2400,1,0.77,5.79,2
1,2340-2400,2,34.82,57.18,9
1,2340-2400,3,28.68,77.26,10
1,2340-2400,4,0,0,0
1,2340-2400,5,4.36,18.88,3
1,2340-2400,6,64.23,101.35,19
1,2340-2400,7,28.85,51.15,9
1,2400-2460,1,14.67,72.94,11
1,2400-2460,2,15.84,24.49,5
1,2400-2460,3,19.26,62.8,14
1,2400-2460,4,2.88,17.61,3
1,2400-2460,5,18.06,37.64,6
1,2400-2460,6,46.83,76.87,10
1,2400-2460,7,31.73,70.31,6
1,2460-2520,1,30.94,79.5,4
1,2460-2520,2,18.75,38.01,7
1,2460-2520,3,19.3,59.45,14
1,2460-2520,4,1.23,18.48,3
1,2460-2520,5,19.26,58.23,8
1,2460-2520,6,24.81,37.42,1
1,2460-2520,7,12.43,50.43,11
1,2520-2580,1,8.87,25.75,5
1,2520-2580,2,11.56,24.8,6
1,2520-2580,3,63.8,147.15,22
1,2520-2580,4,0.03,3.96,1
1,2520-2580,5,19.54,57.28,6
1,2520-2580,6,0.06,4.2,1
1,2520-2580,7,59.08,111.09,30
1,2580-2640,1,6.59,45.54,6
1,2580-2640,2,12.42,26,5
1,2580-2640,3,53.41,147.58,26
1,2580-2640,4,0.01,4.86,1
1,2580-2640,5,20.76,44.04,7
1,2580-2640,6,2.61,12.15,2
1,2580-2640,7,60.41,119.11,24
1,2640-2700,1,29.23,58.9,17
1,2640-2700,2,14.2,20.66,4
1,2640-2700,3,27.44,69.37,15
1,2640-2700,4,3.33,11.39,2
1,2640-2700,5,25.16,58.83,10
1,2640-2700,6,0.15,5.33,2
1,2640-2700,7,29.53,51.03,10
1,2700-2760,1,32.35,62.46,14
1,2700-2760,2,5.28,18.92,3
1,2700-2760,3,14.13,31.48,8
1,2700-2760,4,0.78,12.12,2
1,2700-2760,5,40.37,101.14,14
1,2700-2760,6,12.59,31.66,5
1,2700-2760,7,21.97,31.74,8
1,2760-2820,1,14.29,32.53,9
1,2760-2820,2,25.7,48.22,11
1,2760-2820,3,20.22,55.8,12
1,2760-2820,4,3.16,17.65,3
1,2760-2820,5,60.66,147.76,20
1,2760-2820,6,9.72,26.98,4
1,2760-2820,7,26.78,58.31,10
1,2820-2880,1,9.88,24.6,11
1,2820-2880,2,66.15,102.45,15
1,2820-2880,3,7.35,32.54,5
1,2820-2880,4,6.55,24.19,3
1,2820-2880,5,55.66,138.28,13
1,2820-2880,6,23.97,64.22,9
1,2820-2880,7,29.06,54.93,11
1,2880-2940,1,19.67,32.33,13
1,2880-2940,2,86.06,106.45,17
1,2880-2940,3,9.22,31.31,6
1,2880-2940,4,4.19,23.14,2
1,2880-2940,5,56.89,139.92,16
1,2880-2940,6,24.3,63,10
1,2880-2940,7,36.84,65.17,9
1,2940-3000,1,12.35,26.69,5
1,2940-3000,2,41.68,105.63,12
1,2940-3000,3,19.38,57.8,14
1,2940-3000,4,0.03,4.76,1
1,2940-3000,5,21.78,74.48,9
1,2940-3000,6,15.07,54.97,9
1,2940-3000,7,28.81,61.85,12
1,3000-3060,1,13.17,51.03,10
1,3000-3060,2,14.92,31.75,6
1,3000-3060,3,42.57,115.09,19
1,3000-3060,4,0.03,4.04,1
1,3000-3060,5,14.96,51,6
1,3000-3060,6,0.8,23.39,1
1,3000-3060,7,20.19,37.32,7
1,3060-3120,1,28.5,64.26,9
1,3060-3120,2,19.94,37.86,6
1,3060-3120,3,20.36,68.65,11
1,3060-3120,4,0,0,0
1,3060-3120,5,8.98,36.57,8
1,3060-3120,6,13.45,39.7,6
1,3060-3120,7,32.3,97.74,13
