SIMRUN,TIMEINT,QUEUECOUNTER,QLEN,QLENMAX,QSTOPS
5,3360-3420,2,11.92,31.57,8
5,3360-3420,3,29.19,77.22,23
5,3360-3420,4,0.03,4.68,1
5,3360-3420,5,18.05,43.69,7
5,3360-3420,6,9.18,31.21,8
5,3360-3420,7,36.83,65.08,12
5,3420-3480,1,7.42,13.04,3
5,3420-3480,2,5.85,17.18,4
5,3420-3480,3,50.36,117.9,17
5,3420-3480,4,4.98,24.67,4
5,3420-3480,5,23.53,58.15,9
5,3420-3480,6,7,12.86,3
5,3420-3480,7,48.42,78.66,15
5,3480-3540,1,15.56,31.2,12
5,3480-3540,2,0.39,5.35,1
5,3480-3540,3,22.38,78.54,12
5,3480-3540,4,3.15,16.14,3
5,3480-3540,5,23.03,60.73,7
5,3480-3540,6,11.45,32.31,3
5,3480-3540,7,73.77,113.24,27
5,3540-3600,1,14.79,31.86,6
5,3540-3600,2,11.65,17.84,3
5,3540-3600,3,27.63,52.28,12
5,3540-3600,4,1.6,17.33,3
5,3540-3600,5,27.32,62.84,9
5,3540-3600,6,4.09,19.86,6
5,3540-3600,7,149.51,207.55,27
5,3600-3660,1,9.77,30.35,4
5,3600-3660,2,9.72,37.15,5
5,3600-3660,3,12.73,65,6
5,3600-3660,4,0.02,5.05,1
5,3600-3660,5,22.86,62.17,8
5,3600-3660,6,9.7,19.23,0
5,3600-3660,7,137.58,183.96,27
5,3660-3720,1,13.42,50.13,7
5,3660-3720,2,38.9,73.12,10
5,3660-3720,3,12.7,35.41,7
5,3660-3720,4,0.03,5.07,1
5,3660-3720,5,18.05,43.63,5
5,3660-3720,6,3.79,19.47,4
5,3660-3720,7,157.53,216.56,33
5,3720-3780,1,6.27,16.64,2
5,3720-3780,2,34.52,46.92,11
5,3720-3780,3,11,48.63,7
5,3720-3780,4,0,0,0
5,3720-3780,5,35.66,77.29,11
5,3720-3780,6,9.25,25.17,7
5,3720-3780,7,160.34,215.25,29
5,3780-3840,1,11.16,37.11,5
5,3780-3840,2,30.08,45.02,7
5,3780-3840,3,7.75,31.44,5
5,3780-3840,4,0.02,5.17,1
5,3780-3840,5,24.81,83.78,9
5,3780-3840,6,11.97,24.4,2
5,3780-3840,7,139.08,192.8,26
5,3840-3900,1,12.55,37.93,9
5,3840-3900,2,24.25,38.76,5
5,3840-3900,3,16.22,49.93,6
5,3840-3900,4,0.02,4.69,1
5,3840-3900,5,11.78,54.15,5
5,3840-3900,6,4.18,18.8,4
5,3840-3900,7,91.1,120.2,21
5,3900-3960,1,31.76,51.33,11
5,3900-3960,2,6.59,20.14,4
5,3900-3960,3,10.67,49.39,5
5,3900-3960,4,0,0,0
5,3900-3960,5,1.68,30.81,2
5,3900-3960,6,11.09,32.69,5
5,3900-3960,7,97.77,121.4,22
5,3960-4020,1,23.61,64.84,12
5,3960-4020,2,24.92,60.31,13
5,3960-4020,3,11.03,31.51,12
5,3960-4020,4,0,0,0
5,3960-4020,5,17.87,44.19,7
5,3960-4020,6,0.06,5.13,1
5,3960-4020,7,82.97,105.19,17
5,4020-4080,1,16.83,37.17,4
5,4020-4080,2,34.55,47.21,7
5,4020-4080,3,18.54,39.35,13
5,4020-4080,4,0.05,4.84,1
5,4020-4080,5,11.3,57.86,3
5,4020-4080,6,8.54,17.36,3
5,4020-4080,7,91.44,124.46,17
5,4080-4140,1,1.85,5.39,2
5,4080-4140,2,37.56,86.49,10
5,4080-4140,3,17.81,45.02,6
5,4080-4140,4,2.54,11.12,2
5,4080-4140,5,1.15,11.91,2
5,4080-4140,6,11.25,24.97,6
5,4080-4140,7,75.54,103.02,18
5,4140-4200,1,8.5,19.39,6
5,4140-4200,2,60.68,88.97,14
5,4140-4200,3,16.41,47.81,9
5,4140-4200,4,0,0,0
5,4140-4200,5,7.71,25.18,7
5,4140-4200,6,9.29,30.39,6
5,4140-4200,7,80.36,102.6,17
5,4200-4260,1,12.24,47.2,11
5,4200-4260,2,76.29,102.51,15
5,4200-4260,3,15.45,46.91,5
5,4200-4260,4,6.26,22.76,2
5,4200-4260,5,13.6,50.51,5
5,4200-4260,6,12,43.06,8
5,4200-4260,7,71.36,94.53,12
5,4260-4320,1,30.77,87.59,12
5,4260-4320,2,65.05,101.69,21
5,4260-4320,3,16.06,53.65,15
5,4260-4320,4,5,23.7,4
5,4260-4320,5,8.68,33.11,6
5,4260-4320,6,17.61,45.9,7
5,4260-4320,7,49.46,69.06,10
5,4320-4380,1,15.45,31.57,12
5,4320-4380,2,85.98,116.59,19
5,4320-4380,3,22.56,52.75,12
5,4320-4380,4,1.85,22.87,1
5,4320-4380,5,30.97,87.73,13
5,4320-4380,6,20.66,45.02,8
5,4320-4380,7,58.44,80.66,16
5,4380-4440,1,19.21,38.14,5
5,4380-4440,2,101.35,135.79,23
5,4380-4440,3,20.55,44.91,10
5,4380-4440,4,0.4,11.32,1
5,4380-4440,5,15.5,57.14,10
5,4380-4440,6,19.82,50.26,5
5,4380-4440,7,43.01,76.23,17
5,4440-4500,1,15.06,38.54,6
5,4440-4500,2,97.55,135.17,24
5,4440-4500,3,19.93,68.65,15
5,4440-4500,4,1.02,17.39,3
5,4440-4500,5,21.68,62.32,8
5,4440-4500,6,15.1,37.28,6
5,4440-4500,7,43.13,82.82,19
6,900-960,1,8.09,25.32,5
6,900-960,2,6.39,20.74,4
6,900-960,3,57.04,114.72,19
6,900-960,4,0,0,0
6,900-960,5,48.12,100.95,15
6,900-960,6,104.71,122.71,17
6,900-960,7,88.73,116.83,19
6,960-1020,1,6.09,31.89,5
6,960-1020,2,14.77,39.36,8
6,960-1020,3,41.01,94.96,17
6,960-1020,4,4.79,26.72,4
6,960-1020,5,36.79,73.02,11
6,960-1020,6,105.67,133.09,21
6,960-1020,7,79.47,109.89,19
6,1020-1080,1,6.3,31.96,7
6,1020-1080,2,36.48,64.59,8
6,1020-1080,3,28.5,88.38,10
6,1020-1080,4,4.23,17.05,2
6,1020-1080,5,22.58,51.23,8
6,1020-1080,6,62.22,89.26,10
6,1020-1080,7,76.47,110.22,23
6,1080-1140,1,13.49,51.64,9
6,1080-1140,2,57.56,83.07,14
6,1080-1140,3,13.18,51.72,8
6,1080-1140,4,0.02,4.59,1
6,1080-1140,5,49.27,110.29,15
6,1080-1140,6,39.6,69,9
6,1080-1140,7,34.75,63.78,10
6,1140-1200,1,4.27,13.02,4
6,1140-1200,2,52.32,71.7,11
6,1140-1200,3,46.54,99.14,22
6,1140-1200,4,18.48,49.72,6
6,1140-1200,5,20.53,139.56,7
6,1140-1200,6,29.82,57.33,5
6,1140-1200,7,24.02,50.86,11
6,1200-1260,1,7.86,42.46,7
6,1200-1260,2,50.18,71.78,12
6,1200-1260,3,42.16,114.26,20
6,1200-1260,4,0,0,0
6,1200-1260,5,23.44,62.59,8
6,1200-1260,6,1,12.25,3
6,1200-1260,7,14.26,51.92,5
6,1260-1320,1,27.38,67.92,8
6,1260-1320,2,36.42,51.3,12
6,1260-1320,3,25.55,77.32,17
6,1260-1320,4,0.05,4.91,1
6,1260-1320,5,21.86,61.5,6
6,1260-1320,6,10.56,24.83,5
6,1260-1320,7,11.97,56.85,11
6,1320-1380,1,36.29,57.42,12
6,1320-1380,2,66.77,104.21,19
6,1320-1380,3,65.26,147.41,27
6,1320-1380,4,3.05,10.71,2
6,1320-1380,5,17.25,60.78,6
6,1320-1380,6,13.9,32.25,5
6,1320-1380,7,39.02,63.36,23
6,1380-1440,1,35.24,62.64,6
6,1380-1440,2,100.15,133.75,21
6,1380-1440,3,39.85,96.36,23
6,1380-1440,4,3.5,16.46,3
6,1380-1440,5,12.66,42.52,5
6,1380-1440,6,1.79,5.25,1
6,1380-1440,7,32.15,56.46,15
6,1440-1500,1,12.52,28.61,3
6,1440-1500,2,133.41,155.8,27
6,1440-1500,3,14.33,60.44,3
6,1440-1500,4,0,0,0
6,1440-1500,5,12.91,43.45,7
6,1440-1500,6,30.35,76.25,10
6,1440-1500,7,64.86,117.61,24
6,1500-1560,1,6.54,19.74,6
6,1500-1560,2,121.65,154.88,22
6,1500-1560,3,12.84,41.34,6
6,1500-1560,4,0.01,4.79,1
6,1500-1560,5,15.31,42.97,7
6,1500-1560,6,16.3,30.95,6
6,1500-1560,7,67.7,88.11,14
6,1560-1620,1,7.21,37.88,5
6,1560-1620,2,130.46,172.15,34
6,1560-1620,3,18.41,60.85,13
6,1560-1620,4,0,0,0
6,1560-1620,5,12.99,50.58,6
6,1560-1620,6,0.14,5.56,2
6,1560-1620,7,65.89,95.84,14
6,1620-1680,1,16.9,63.32,9
6,1620-1680,2,132.95,157.5,24
6,1620-1680,3,9.86,38.02,10
6,1620-1680,4,10.66,31.19,5
6,1620-1680,5,5.19,31.45,3
6,1620-1680,6,11.95,31.55,6
6,1620-1680,7,82.54,103.9,19
6,1680-1740,1,2.48,18.35,2
6,1680-1740,2,113.3,145.84,18
6,1680-1740,3,15.46,38.03,10
6,1680-1740,4,0.12,28.82,1
6,1680-1740,5,1.77,16.71,3
6,1680-1740,6,15.74,36.58,7
6,1680-1740,7,56.5,71.72,9
6,1740-1800,1,5.65,24.25,6
6,1740-1800,2,95.49,136.54,22
6,1740-1800,3,23.32,52.16,11
6,1740-1800,4,0,0,0
6,1740-1800,5,5.47,30.3,4
6,1740-1800,6,15.07,35.7,4
6,1740-1800,7,39.48,64.53,13
6,1800-1860,1,7.62,53.9,6
6,1800-1860,2,85.3,135.57,18
6,1800-1860,3,12.95,51.33,5
6,1800-1860,4,1.34,10.92,2
6,1800-1860,5,4.5,33.37,5
6,1800-1860,6,6.87,33.31,4
6,1800-1860,7,19.55,30.87,7
6,1860-1920,1,44.67,95.15,14
6,1860-1920,2,107.73,137.29,23
6,1860-1920,3,11.97,54.85,8
6,1860-1920,4,1.31,16.42,1
6,1860-1920,5,8.23,30.53,8
6,1860-1920,6,3.86,12.21,2
6,1860-1920,7,21.13,40.1,7
6,1920-1980,1,18.34,43.05,11
6,1920-1980,2,66.46,110.99,13
6,1920-1980,3,20.03,60.73,8
6,1920-1980,4,1.08,17.77,3
6,1920-1980,5,65.12,140,17
6,1920-1980,6,4.58,12.7,3
6,1920-1980,7,28.94,64.54,14
6,1980-2040,1,28.86,63.57,23
6,1980-2040,2,46.99,68.63,13
6,1980-2040,3,15.26,46.01,8
6,1980-2040,4,3.58,16.97,0
6,1980-2040,5,65.85,140.28,18
6,1980-2040,6,4.55,11.76,1
6,1980-2040,7,22.51,63.72,10
6,2040-2100,1,28.7,77.03,6
6,2040-2100,2,58.65,81.56,14
6,2040-2100,3,15.18,51.69,8
6,2040-2100,4,0,0,0
6,2040-2100,5,63.85,123.27,17
6,2040-2100,6,4.67,17.58,4
6,2040-2100,7,18.5,39.56,10
6,2100-2160,1,2.81,18.2,5
6,2100-2160,2,82.94,91,17
6,2100-2160,3,35.57,91.12,25
6,2100-2160,4,0.01,4.3,1
6,2100-2160,5,56.42,99.48,12
6,2100-2160,6,5.32,16.74,1
6,2100-2160,7,25.97,46.41,15
6,2160-2220,1,4.59,18.76,3
6,2160-2220,2,78.66,109.98,21
6,2160-2220,3,16.33,64.08,7
6,2160-2220,4,1,10.58,2
6,2160-2220,5,46.96,102.48,14
6,2160-2220,6,4.96,29.33,5
6,2160-2220,7,19.55,44.33,7
6,2220-2280,1,1.05,17.82,0
6,2220-2280,2,89.88,115.69,18
6,2220-2280,3,14.44,39.93,10
6,2220-2280,4,0.46,11.15,2
6,2220-2280,5,50.83,93.39,12
6,2220-2280,6,14.25,38.07,1
6,2220-2280,7,26.16,57.84,9
6,2280-2340,1,2.09,18.75,5
6,2280-2340,2,126.72,154.59,23
6,2280-2340,3,6.95,46.36,3
6,2280-2340,4,2.97,18.67,3
6,2280-2340,5,0.02,5.15,1
6,2280-2340,6,0.18,5.65,2
6,2280-2340,7,8.94,33.49,3
6,2340-2400,1,9.3,17.83,3
6,2340-2400,2,139.96,173.64,22
6,2340-2400,3,9.01,56.85,10
6,2340-2400,4,6.94,32.2,5
6,2340-2400,5,14.56,43.59,7
6,2340-2400,6,10.45,30.68,7
6,2340-2400,7,11.33,38.14,12
6,2400-2460,1,8.27,18.51,5
6,2400-2460,2,116.11,154.37,24
6,2400-2460,3,49.12,96.95,16
6,2400-2460,4,5.61,24.94,4
6,2400-2460,5,32.8,70.82,9
6,2400-2460,6,16.02,46.72,4
6,2400-2460,7,12.12,37.33,1
6,2460-2520,1,11.32,24.85,7
6,2460-2520,2,136.2,161,24
6,2460-2520,3,33.52,78.35,10
6,2460-2520,4,0,0,0
6,2460-2520,5,12.29,68.65,5
6,2460-2520,6,17.49,42.23,8
6,2460-2520,7,7.73,29.79,8
6,2520-2580,1,13.55,37.06,12
6,2520-2580,2,103.05,157.65,23
6,2520-2580,3,34.22,102.98,15
6,2520-2580,4,3.9,18.25,3
6,2520-2580,5,22.83,54.38,7
6,2520-2580,6,5.88,25.3,3
6,2520-2580,7,53.45,104.04,19
6,2580-2640,1,12.13,38.52,7
6,2580-2640,2,88.92,113.24,19
6,2580-2640,3,4.68,30.99,3
6,2580-2640,4,4.94,23.56,4
6,2580-2640,5,20.24,53.63,5
6,2580-2640,6,0.08,5.48,1
6,2580-2640,7,45.94,77.04,15
6,2640-2700,1,17.9,44.37,14
6,2640-2700,2,77.63,120.03,13
6,2640-2700,3,12.77,36.33,9
6,2640-2700,4,2.97,18.32,3
6,2640-2700,5,21.59,43.98,7
6,2640-2700,6,0.27,5.37,2
6,2640-2700,7,46.78,80.52,15
6,2700-2760,1,14.55,25.95,5
6,2700-2760,2,27.69,39.28,9
6,2700-2760,3,13.84,35.54,9
6,2700-2760,4,0.03,4.76,1
6,2700-2760,5,10.84,55.65,4
6,2700-2760,6,11.03,25.62,5
6,2700-2760,7,28.96,44.37,11
6,2760-2820,1,9.29,36.54,13
6,2760-2820,2,12.08,30.89,6
6,2760-2820,3,17.21,63.13,9
6,2760-2820,4,3.59,12.15,2
6,2760-2820,5,16.82,54.53,11
6,2760-2820,6,38.4,62.44,9
6,2760-2820,7,38.1,65.98,8
6,2820-2880,1,19.84,44.89,11
6,2820-2880,2,6.46,18.46,4
6,2820-2880,3,4.31,25.28,3
6,2820-2880,4,6.85,24.27,4
6,2820-2880,5,60.81,143.8,19
6,2820-2880,6,39.62,56.09,10
6,2820-2880,7,33.11,66.72,13
6,2880-2940,1,12.98,32.04,7
6,2880-2940,2,12.42,39.51,7
6,2880-2940,3,9.25,24.28,7
6,2880-2940,4,0,0,0
6,2880-2940,5,43.36,102.88,12
6,2880-2940,6,28.59,58.9,9
6,2880-2940,7,29.93,56.9,10
6,2940-3000,1,11.17,43.03,10
6,2940-3000,2,12.06,25.36,4
6,2940-3000,3,26.72,81.69,12
6,2940-3000,4,3.86,18.3,3
6,2940-3000,5,59.39,138.28,19
6,2940-3000,6,5.22,58.05,3
6,2940-3000,7,19.4,33.7,8
6,3000-3060,1,33.61,88.1,20
6,3000-3060,2,20.39,39.64,7
6,3000-3060,3,36.41,94.03,10
6,3000-3060,4,4.02,23.16,3
6,3000-3060,5,45.15,121.68,14
6,3000-3060,6,12.21,43.82,6
6,3000-3060,7,34.21,56.28,9
6,3060-3120,1,124.4,197.65,29
6,3060-3120,2,16.86,30.59,4
6,3060-3120,3,25.71,113.9,17
6,3060-3120,4,6.73,24.43,6
6,3060-3120,5,7.85,25.3,6
6,3060-3120,6,11.96,42.98,6
6,3060-3120,7,25.55,66.43,13
6,3120-3180,1,31.07,63.32,9
6,3120-3180,2,10.58,20.03,4
6,3120-3180,3,68.14,147.33,11
6,3120-3180,4,4.41,31.08,2
6,3120-3180,5,56.37,125.84,21
6,3120-3180,6,43.08,54.47,5
6,3120-3180,7,10.08,25.35,7
6,3180-3240,1,1.9,16.95,3
6,3180-3240,2,40.97,75.08,13
6,3180-3240,3,27.14,87.65,20
6,3180-3240,4,0.99,12.28,1
6,3180-3240,5,24.46,55.41,6
6,3180-3240,6,28.43,69.11,5
6,3180-3240,7,31.19,62.69,15
6,3240-3300,1,8.51,20.27,6
6,3240-3300,2,61.9,76.36,13
6,3240-3300,3,40.86,100.53,17
6,3240-3300,4,1.1,11.86,2
6,3240-3300,5,16.57,64.6,8
6,3240-3300,6,12.96,30.2,6
6,3240-3300,7,34.47,61.86,11
6,3300-3360,1,10.38,19.9,4
6,3300-3360,2,61.78,79.22,14
6,3300-3360,3,19.4,47.05,12
6,3300-3360,4,0.02,4.6,1
6,3300-3360,5,23.31,67.61,10
6,3300-3360,6,12.78,38.34,9
6,3300-3360,7,47.73,92.03,15
6,3360-3420,1,11.59,26.41,7
6,3360-3420,2,60.02,87.09,16
6,3360-3420,3,19.66,57.92,13
6,3360-3420,4,3.51,17.06,3
6,3360-3420,5,17.79,58.48,9
6,3360-3420,6,9.42,18.66,3
6,3360-3420,7,63.49,98.54,24
6,3420-3480,1,10.54,25.49,4
6,3420-3480,2,78.39,116.26,18
6,3420-3480,3,45.11,111.48,21
6,3420-3480,4,1.22,13.62,2
6,3420-3480,5,22.83,49.47,8
6,3420-3480,6,4.27,10.98,2
6,3420-3480,7,77.57,103.93,28
6,3480-3540,1,21.53,44.97,18
6,3480-3540,2,84.16,134.03,19
6,3480-3540,3,24.76,58.43,13
6,3480-3540,4,4.21,30.7,5
6,3480-3540,5,17.91,43.45,7
6,3480-3540,6,6.7,23.68,3
6,3480-3540,7,89.71,117.58,23
6,3540-3600,1,14.54,50.91,7
6,3540-3600,2,57.17,98.9,19
6,3540-3600,3,39.99,112.38,15
6,3540-3600,4,1.07,11.4,2
6,3540-3600,5,43.41,91.31,13
6,3540-3600,6,0.23,5.78,1
6,3540-3600,7,88.22,118.6,32
6,3600-3660,1,48.54,102.55,19
6,3600-3660,2,55.33,105.63,13
6,3600-3660,3,44.45,128.81,22
6,3600-3660,4,0.01,4.43,1
6,3600-3660,5,83.2,139.97,15
6,3600-3660,6,3.77,11.01,3
6,3600-3660,7,71.28,105.39,11
6,3660-3720,1,95.74,117.87,31
6,3660-3720,2,75.8,124.39,14
6,3660-3720,3,26.12,87.13,12
6,3660-3720,4,0.83,10.62,1
6,3660-3720,5,51.95,138.86,11
6,3660-3720,6,48.67,98.03,25
6,3660-3720,7,52.83,85.07,26
6,3720-3780,1,46.46,115.94,14
6,3720-3780,2,110.88,140.26,26
6,3720-3780,3,67.71,147.25,25
6,3720-3780,4,13.15,43.9,7
6,3720-3780,5,47.62,100.06,17
6,3720-3780,6,53.63,77.92,7
6,3720-3780,7,67.29,96.59,28
6,3780-3840,1,11.3,33.13,8
6,3780-3840,2,104.37,130.79,17
6,3780-3840,3,65.33,108.76,37
6,3780-3840,4,2.36,17.18,3
6,3780-3840,5,110.67,140.13,19
6,3780-3840,6,28.67,45.76,4
6,3780-3840,7,88.42,123.38,13
6,3840-3900,1,22.4,70.76,14
6,3840-3900,2,114.99,146.96,15
6,3840-3900,3,56.76,117.92,14
6,3840-3900,4,8.64,40.26,6
6,3840-3900,5,84.34,140.5,10
6,3840-3900,6,12.38,25.31,4
6,3840-3900,7,67,96.77,26
6,3900-3960,1,9.81,48.71,10
6,3900-3960,2,116.45,160.89,21
6,3900-3960,3,26.46,65.4,15
6,3900-3960,4,6.02,25.27,4
6,3900-3960,5,75.27,139.99,19
6,3900-3960,6,10.77,18.31,3
6,3900-3960,7,61.16,82.98,14
6,3960-4020,1,1.53,12.14,3
6,3960-4020,2,88.5,123.96,23
6,3960-4020,3,43.11,108.48,18
6,3960-4020,4,12.96,52.85,8
6,3960-4020,5,49.83,122.01,13
6,3960-4020,6,11.74,37.74,6
6,3960-4020,7,43.72,64.16,9
6,4020-4080,1,7.12,24.56,7
6,4020-4080,2,108.04,130.35,16
6,4020-4080,3,8.88,43.89,4
6,4020-4080,4,0.02,4.82,1
6,4020-4080,5,18.23,58.13,7
6,4020-4080,6,0.12,5.51,2
6,4020-4080,7,22.71,38.33,4
6,4080-4140,1,6.38,19.32,6
6,4080-4140,2,94.12,134.94,17
6,4080-4140,3,11.4,38.91,8
6,4080-4140,4,0.88,10.9,2
6,4080-4140,5,10.33,32.38,3
6,4080-4140,6,11.34,24.95,4
6,4080-4140,7,11.41,18.53,7
6,4140-4200,1,19.93,38.78,11
6,4140-4200,2,61.77,98.28,19
6,4140-4200,3,11.51,45.62,7
6,4140-4200,4,7,25.33,4
6,4140-4200,5,27.05,81.88,14
6,4140-4200,6,18.1,45.47,10
6,4140-4200,7,26.52,52.41,11
6,4200-4260,1,18.35,44.56,13
6,4200-4260,2,77.56,96.13,14
6,4200-4260,3,14.17,31.84,15
6,4200-4260,4,2.53,11,2
6,4200-4260,5,40.91,118.41,12
6,4200-4260,6,15.58,44.53,6
6,4200-4260,7,24.32,42.93,11
6,4260-4320,1,23.24,57.37,11
6,4260-4320,2,47.83,95.24,15
6,4260-4320,3,23.04,56.66,9
6,4260-4320,4,0.03,5.38,1
6,4260-4320,5,6.63,30.64,6
6,4260-4320,6,10.69,44.47,4
6,4260-4320,7,15.83,59.6,9
6,4320-4380,1,35.65,113.87,14
6,4320-4380,2,38.44,50.18,9
6,4320-4380,3,30.6,76.64,15
6,4320-4380,4,0.37,8.34,1
6,4320-4380,5,22.16,55.67,15
6,4320-4380,6,13.53,52.85,9
6,4320-4380,7,49.07,82.09,14
6,4380-4440,1,38.94,64.68,18
6,4380-4440,2,24.73,49.38,8
6,4380-4440,3,22.59,51.9,10
6,4380-4440,4,1.59,17.54,2
6,4380-4440,5,125.29,150.01,11
6,4380-4440,6,21.07,51.93,3
6,4380-4440,7,42.71,81.29,10
6,4440-4500,1,49.83,76.85,18
6,4440-4500,2,35.15,58.6,8
6,4440-4500,3,11.63,37.33,5
6,4440-4500,4,6.7,33.92,5
6,4440-4500,5,28.76,149.88,12
6,4440-4500,6,2.95,17.28,2
6,4440-4500,7,27.48,50.82,12
7,900-960,1,4.36,18.43,3
7,900-960,2,104.36,124.33,16
7,900-960,3,42.43,147.66,26
7,900-960,4,1.04,10.44,2
7,900-960,5,40.68,85.61,12
7,900-960,6,15.97,32.82,2
7,900-960,7,240.22,348.84,55
7,960-1020,1,17.53,43.41,5
7,960-1020,2,137.89,188.87,28
7,960-1020,3,59.34,146.12,21
7,960-1020,4,1.7,18.93,3
7,960-1020,5,31.67,74.2,11
7,960-1020,6,26.66,49.79,11
7,960-1020,7,187.33,402.92,41
7,1020-1080,1,7.34,32.51,7
7,1020-1080,2,164.16,200.85,28
7,1020-1080,3,106.13,148.29,32
7,1020-1080,4,3.42,18.13,3
7,1020-1080,5,11.83,30.56,4
7,1020-1080,6,38.32,67.22,9
7,1020-1080,7,90.21,152.66,27
7,1080-1140,1,13.02,52.52,7
7,1080-1140,2,150.64,174.34,24
7,1080-1140,3,69.56,147.19,19
7,1080-1140,4,8.52,40.5,6
7,1080-1140,5,35.81,81.2,13
7,1080-1140,6,17.67,36.67,8
7,1080-1140,7,71.53,105.98,27
7,1140-1200,1,14.13,65.54,11
7,1140-1200,2,161.35,187.45,34
7,1140-1200,3,138.4,147.5,19
7,1140-1200,4,3.25,24.75,4
7,1140-1200,5,51.19,139.25,17
7,1140-1200,6,11.53,25.69,4
7,1140-1200,7,92.16,125.76,28
7,1200-1260,1,26.99,64.76,12
7,1200-1260,2,192.36,218.94,34
7,1200-1260,3,148.31,153.17,25
7,1200-1260,4,1.47,10.93,2
7,1200-1260,5,60.19,139.25,12
7,1200-1260,6,4.17,10.23,2
7,1200-1260,7,164.34,217.5,22
7,1260-1320,1,16.66,50.97,6
7,1260-1320,2,206.73,232.33,36
7,1260-1320,3,75.63,153.17,23
7,1260-1320,4,1.46,17.96,3
7,1260-1320,5,42.24,114.28,11
7,1260-1320,6,7.7,18.82,3
7,1260-1320,7,145.12,263.14,49
7,1320-1380,1,4.91,30.12,6
7,1320-1380,2,178.65,198.44,26
7,1320-1380,3,96.11,148.74,26
7,1320-1380,4,0.03,5.36,1
7,1320-1380,5,11.01,51.73,3
7,1320-1380,6,11.3,31.98,8
7,1320-1380,7,208.99,304.63,55
7,1380-1440,1,12.52,38.09,9
7,1380-1440,2,145.01,184.49,26
7,1380-1440,3,48.41,106.9,22
7,1380-1440,4,3.96,18.77,3
7,1380-1440,5,20.28,57.08,7
7,1380-1440,6,17.15,51.44,8
7,1380-1440,7,81.06,302.67,41
7,1440-1500,1,24.48,63.57,13
7,1440-1500,2,120.86,151.92,23
7,1440-1500,3,74.12,146.72,25
7,1440-1500,4,6.25,37.76,4
7,1440-1500,5,35.56,70.42,12
7,1440-1500,6,9.69,18.24,3
7,1440-1500,7,70.22,104.32,43
7,1500-1560,1,11.84,24.55,5
7,1500-1560,2,128.43,161.79,27
7,1500-1560,3,42.34,105.05,19
7,1500-1560,4,6.11,24.89,4
7,1500-1560,5,52.06,140.11,10
7,1500-1560,6,6.49,11.43,2
7,1500-1560,7,164.78,242.82,31
7,1560-1620,1,3.26,19.07,4
7,1560-1620,2,140.27,218.66,33
7,1560-1620,3,15.76,43.96,10
7,1560-1620,4,0,0,0
7,1560-1620,5,2.76,24.07,2
7,1560-1620,6,7.75,19.27,4
7,1560-1620,7,267.03,337.93,40
7,1620-1680,1,12.31,31.61,15
7,1620-1680,2,210.49,238.27,36
7,1620-1680,3,15.2,32.17,4
7,1620-1680,4,0.01,4.44,1
7,1620-1680,5,5.72,24.25,5
7,1620-1680,6,10.49,37.64,6
7,1620-1680,7,192.11,260.48,39
7,1680-1740,1,22.35,64.53,11
7,1680-1740,2,205.37,231.37,41
7,1680-1740,3,8.39,30.96,4
7,1680-1740,4,5.29,25.43,4
7,1680-1740,5,39.02,108.27,20
7,1680-1740,6,27.06,55.77,9
7,1680-1740,7,269.24,322.31,50
7,1740-1800,1,10.58,25.42,7
7,1740-1800,2,237.63,265.67,41
7,1740-1800,3,11.49,31.23,12
7,1740-1800,4,0.77,24.52,1
7,1740-1800,5,62.05,139.17,16
7,1740-1800,6,44.84,86.83,12
7,1740-1800,7,325.32,413.03,44
7,1800-1860,1,9.79,37.46,6
7,1800-1860,2,189.57,214.48,36
7,1800-1860,3,15.08,53.3,9
7,1800-1860,4,0,0,0
7,1800-1860,5,28.97,75.7,8
7,1800-1860,6,30.15,62.05,10
7,1800-1860,7,349.81,431.04,63
7,1860-1920,1,19.1,36.01,6
7,1860-1920,2,211.26,245.33,39
7,1860-1920,3,19.31,55.63,15
7,1860-1920,4,0.02,4.84,1
7,1860-1920,5,1.58,10.77,2
7,1860-1920,6,20.76,56.77,8
7,1860-1920,7,419.77,462.98,45
7,1920-1980,1,24.26,52.63,11
7,1920-1980,2,215.59,248.17,45
7,1920-1980,3,35,97.77,20
7,1920-1980,4,0.79,10.76,3
7,1920-1980,5,5.39,17.92,2
7,1920-1980,6,8.51,29.36,3
7,1920-1980,7,291.64,468.64,54
7,1980-2040,1,33.45,57.6,11
7,1980-2040,2,239.34,265.76,46
7,1980-2040,3,38.72,82.99,18
7,1980-2040,4,0.02,5.04,1
7,1980-2040,5,16.11,49.48,8
7,1980-2040,6,10.74,25.67,4
7,1980-2040,7,359.15,459.73,64
7,2040-2100,1,20.8,45.43,10
7,2040-2100,2,242.1,258.29,33
7,2040-2100,3,48.64,105.44,18
7,2040-2100,4,0.61,12.39,2
7,2040-2100,5,19.79,57.84,9
7,2040-2100,6,12.18,37.58,5
7,2040-2100,7,307.8,387.02,47
7,2100-2160,1,18.43,48.18,9
7,2100-2160,2,223.66,263.01,41
7,2100-2160,3,32.3,60.04,18
7,2100-2160,4,0.02,4.91,1
7,2100-2160,5,46.91,103.98,16
7,2100-2160,6,12.4,32.35,8
7,2100-2160,7,90.61,137.22,24
7,2160-2220,1,13.99,26.09,5
7,2160-2220,2,241.69,256.79,32
7,2160-2220,3,51.27,97.55,35
7,2160-2220,4,4.92,24.13,4
7,2160-2220,5,10.79,31.22,5
